day,temperature,wind_speed,precipitation
1,-28.9,19.0,1.0
2,-35.0,19.3,1.0
3,-35.7,17.3,1.0
4,-25.4,27.2,2.1
5,-28.6,17.2,1.4
6,-24.9,19.4,1.0
7,-23.6,20.1,1.0
8,-24.1,18.2,12.0
9,-23.7,22.1,7.7
10,-32.1,17.9,1.0
11,-19.8,40.4,11.6
12,-34.7,19.2,1.0
13,-41.4,5.6,1.0
14,-39.9,17.3,2.8
15,-37.1,22.0,1.0
16,-40.1,11.2,1.0
17,-30.9,17.4,1.0
18,-17.2,34.1,1.4
19,-14.6,29.9,1.0
20,-12.3,39.2,7.7
21,-7.2,22.5,11.3
22,-8.1,36.8,14.4
23,-14.9,24.6,1.0
24,-14.0,19.1,9.8
25,-11.7,14.1,11.6
26,-11.7,15.1,4.2
27,-13.6,16.9,1.0
28,-12.7,17.9,2.8
29,-15.2,20.1,1.0
30,-21.7,30.6,1.0
31,-24.2,27.2,1.0
32,-17.8,28.1,4.2
33,-13.0,34.5,8.1
34,-15.8,18.5,1.0
35,-18.6,10.8,1.0
36,-20.9,10.6,1.4
37,-17.4,23.1,9.1
38,-10.9,18.3,1.0
39,-5.8,30.0,1.0
40,-10.5,24.5,5.2
41,-15.2,25.9,3.1
42,-24.3,21.6,1.0
43,-33.8,13.7,1.0
44,-36.8,17.0,1.0
45,-35.5,26.6,1.0
46,-28.6,28.1,1.0
47,-21.0,29.4,1.0
48,-30.7,11.1,1.0
49,-26.3,32.2,1.0
50,-17.5,45.3,1.0
51,-13.5,42.2,1.0
52,-11.9,43.9,2.8
53,-12.7,25.2,1.0
54,-15.3,19.8,1.0
55,-18.8,25.2,1.0
56,-14.9,30.0,7.0
57,-8.3,36.8,9.5
58,-3.3,24.6,5.2
59,-5.8,11.4,6.3
60,-6.5,20.2,3.8
61,-9.4,16.8,1.0
62,-8.2,23.2,7.7
63,-7.2,24.1,6.3
64,-17.5,16.8,1.0
65,-21.6,20.1,3.5
66,-16.6,28.0,7.0
67,-19.9,17.5,1.7
68,-22.0,10.9,1.0
69,-26.9,18.8,2.1
70,-29.3,14.3,1.0
71,-29.6,10.5,1.0
72,-29.3,16.1,1.0
73,-19.5,29.2,4.2
74,-20.0,22.7,1.0
75,-17.6,29.1,4.5
76,-7.5,36.7,7.7
77,-10.4,31.2,6.3
78,-13.9,29.6,1.4
79,-16.0,29.8,4.2
80,-23.0,33.4,1.0
81,-20.0,27.7,1.0
82,-22.4,15.2,1.0
83,-27.3,12.8,1.0
84,-26.1,26.1,1.0
85,-28.1,15.6,1.0
86,-23.1,16.7,2.8
87,-20.7,13.8,1.0
88,-18.4,18.4,1.0
89,-9.6,22.3,18.3
90,-14.1,14.3,14.8
91,-15.5,30.5,2.4
92,-13.8,24.6,7.4
93,-8.6,19.7,8.8
94,-9.5,42.0,10.5
95,-17.1,19.3,2.4
96,-6.5,31.2,20.1
97,-13.7,35.1,1.0
98,-7.6,39.4,2.4
99,-5.7,31.1,13.0
100,-16.7,25.0,1.0
101,-22.9,16.4,1.0
102,-23.4,13.9,1.0
103,-12.7,50.2,19.0
104,-3.0,22.6,18.3
105,-9.1,37.6,12.0
106,-17.0,23.0,1.0
107,-4.3,36.7,2.8
108,-0.9,27.1,22.9
109,-2.8,23.9,5.2
110,-16.5,37.8,1.0
111,-18.6,20.5,1.0
112,-15.4,13.5,3.8
113,-16.1,26.5,3.5
114,-15.0,24.2,1.0
115,-9.0,24.9,1.0
116,-6.6,11.3,1.0
117,-3.8,16.3,1.0
118,-2.0,12.1,1.0
119,-2.8,34.5,11.3
120,-9.4,50.8,4.9
121,-5.2,28.7,8.8
122,-11.0,21.6,2.4
123,-13.0,21.9,1.7
124,-9.3,20.8,1.4
125,-7.1,22.4,1.0
126,-3.4,31.9,1.7
127,-5.5,32.7,1.7
128,-4.9,19.9,3.8
129,-2.4,31.3,2.4
130,-1.4,25.3,18.7
131,1.1,33.2,58.3
132,-1.1,19.1,1.0
133,-0.6,19.8,8.4
134,0.5,28.0,19.0
135,-2.4,34.7,1.4
136,-3.9,21.1,3.5
137,-3.5,15.6,1.0
138,-3.0,20.1,1.0
139,-3.4,16.6,1.4
140,-2.7,22.7,1.7
141,3.1,30.9,1.0
142,3.1,28.2,4.2
143,-3.0,29.0,19.4
144,-3.7,10.7,4.2
145,-4.0,13.5,1.0
146,-1.6,31.5,10.2
147,-0.4,24.7,2.1
148,-2.1,18.1,2.1
149,-2.8,18.2,6.3
150,-1.5,33.3,4.2
151,-1.7,27.8,9.5
152,-1.0,28.9,9.1
153,-1.1,42.6,22.2
154,-1.7,34.7,5.2
155,-0.6,26.9,4.2
156,-0.7,14.0,1.0
157,0.1,10.4,1.0
158,0.2,9.8,1.0
159,0.1,13.7,1.0
160,3.5,12.5,1.0
161,2.0,14.5,1.0
162,10.8,18.9,1.0
163,8.7,18.3,1.0
164,9.3,13.3,28.2
165,15.2,12.2,7.4
166,8.1,13.8,25.0
167,9.0,19.0,9.8
168,5.2,16.5,1.0
169,8.9,9.6,1.0
170,3.6,25.8,4.5
171,1.9,33.1,5.2
172,3.2,16.6,16.9
173,5.4,13.7,1.0
174,12.6,20.4,1.7
175,20.2,17.9,1.0
176,19.9,10.8,1.0
177,23.3,13.5,1.0
178,22.9,18.0,35.6
179,20.2,21.9,6.7
180,9.3,28.3,1.0
181,10.7,15.0,1.7
182,12.2,12.9,2.4
183,7.2,36.6,13.0
184,9.7,16.1,1.0
185,16.0,24.0,1.4
186,20.6,17.5,1.0
187,17.8,29.5,3.1
188,13.0,24.4,1.0
189,13.3,20.8,1.0
190,18.4,24.0,1.0
191,19.2,24.2,1.0
192,19.1,18.7,1.0
193,21.1,14.9,1.7
194,19.5,20.2,20.1
195,17.4,22.6,2.1
196,15.6,18.6,1.4
197,19.4,17.7,1.0
198,18.7,16.6,1.0
199,19.0,10.8,1.0
200,21.6,9.0,3.1
201,18.0,21.2,1.7
202,12.7,26.7,1.0
203,14.0,21.0,1.0
204,14.0,19.2,1.0
205,13.1,24.9,1.0
206,14.2,27.8,1.0
207,14.2,22.5,19.4
208,14.4,13.7,19.7
209,16.1,12.8,1.0
210,20.7,29.4,1.0
211,23.2,20.6,2.4
212,18.9,6.8,100.0
213,19.5,6.4,3.5
214,19.1,6.2,7.4
215,19.5,10.9,2.4
216,20.6,18.4,24.0
217,18.0,26.1,9.5
218,11.8,27.8,1.0
219,11.0,26.8,1.0
220,10.3,21.9,2.1
221,11.2,20.2,1.0
222,11.8,25.2,1.0
223,13.6,23.9,7.7
224,13.2,15.9,31.1
225,13.7,9.2,2.1
226,14.5,17.4,3.5
227,16.3,30.6,8.4
228,16.5,22.4,9.8
229,15.9,16.5,12.0
230,14.4,7.9,34.9
231,14.3,10.8,4.9
232,13.2,10.4,2.1
233,12.2,10.9,1.0
234,12.8,6.5,1.0
235,12.4,11.1,2.4
236,12.1,9.2,10.5
237,12.1,7.7,3.1
238,11.7,10.7,1.4
239,12.7,9.9,1.0
240,15.0,10.2,7.4
241,15.0,11.4,6.7
242,12.5,16.6,1.7
243,10.4,21.6,4.5
244,7.8,27.4,1.7
245,7.7,21.0,4.9
246,8.8,12.2,25.0
247,8.5,20.4,12.7
248,8.4,20.1,1.4
249,8.4,14.2,1.0
250,9.9,22.4,15.8
251,9.0,23.1,8.8
252,8.2,30.3,17.6
253,5.6,28.6,9.8
254,5.7,13.8,1.7
255,13.4,21.1,1.0
256,14.7,19.6,1.0
257,13.7,20.4,1.0
258,4.1,18.1,1.0
259,3.1,8.8,1.0
260,10.8,20.0,1.7
261,8.6,9.7,1.0
262,11.4,17.2,22.2
263,8.9,11.3,10.9
264,6.6,8.9,1.4
265,7.3,18.3,7.0
266,6.9,15.7,4.5
267,3.9,28.7,59.3
268,2.0,42.4,89.4
269,3.1,26.7,8.8
270,1.8,23.5,3.1
271,2.0,20.3,1.4
272,8.9,23.8,5.6
273,9.4,20.7,6.0
274,7.4,25.0,7.0
275,3.6,39.6,8.1
276,3.8,28.3,6.7
277,3.5,24.7,5.2
278,1.4,14.1,3.1
279,-0.1,15.4,1.0
280,0.0,27.5,20.1
281,0.5,28.1,11.3
282,-1.7,19.9,10.2
283,-3.5,31.8,2.1
284,-2.3,29.9,3.5
285,-2.3,17.6,1.0
286,-2.6,19.7,1.7
287,0.3,25.8,4.9
288,0.4,28.8,1.0
289,-2.2,16.0,1.4
290,-7.1,24.9,1.0
291,-0.1,24.5,7.0
292,-0.2,20.3,1.7
293,-0.8,19.0,21.2
294,0.3,11.9,7.4
295,-3.3,21.4,4.2
296,-12.1,12.1,1.0
297,-11.1,20.1,1.4
298,-3.8,23.9,11.6
299,-3.7,16.1,4.5
300,-7.7,9.4,1.0
301,-4.6,13.2,2.1
302,-1.8,16.0,3.1
303,-1.4,6.3,3.8
304,-2.2,14.9,1.0
305,-1.9,21.1,1.0
306,-2.8,30.5,1.0
307,-3.1,34.1,11.6
308,-0.9,35.9,31.4
309,-3.5,37.2,6.3
310,-3.5,33.1,8.4
311,-4.3,27.9,7.0
312,-6.3,10.2,1.0
313,-7.8,21.3,4.9
314,-6.9,23.4,21.5
315,-7.2,29.8,18.3
316,-15.5,34.7,5.6
317,-22.7,22.0,1.0
318,-22.9,10.5,1.7
319,-24.6,6.3,2.1
320,-18.7,21.9,7.4
321,-6.2,19.0,16.6
322,-3.5,18.8,6.0
323,-6.3,10.2,1.0
324,-13.9,12.4,10.5
325,-9.5,13.3,5.9
326,-20.8,14.5,3.8
327,-23.8,13.8,4.5
328,-7.4,23.8,7.4
329,-4.1,24.5,9.8
330,-0.8,26.1,1.0
331,-4.1,28.2,2.1
332,0.2,26.6,5.2
333,-8.1,15.0,1.4
334,-12.1,12.7,1.0
335,-11.9,25.6,3.1
336,-6.7,21.2,8.1
337,-11.9,16.4,4.2
338,-9.4,25.4,16.6
339,-3.9,17.4,4.9
340,-4.9,18.0,34.2
341,-13.4,10.8,1.0
342,-15.4,13.7,1.4
343,-14.2,20.0,1.0
344,-13.9,24.0,3.8
345,-11.0,18.9,12.0
346,-11.0,20.3,7.7
347,-7.6,14.3,7.4
348,-12.2,9.8,2.1
349,-7.9,22.9,9.5
350,-8.1,21.0,14.8
351,-17.3,25.8,3.1
352,-17.0,24.8,10.5
353,-12.2,12.2,1.7
354,-16.0,9.7,4.2
355,-16.0,8.0,2.4
356,-17.8,10.6,1.0
357,-12.3,30.8,2.8
358,-8.0,24.6,8.1
359,-6.6,18.1,17.3
360,-8.0,14.4,1.4
361,-10.0,13.1,8.4
362,-8.3,17.5,16.2
363,-8.6,12.9,6.3
364,-8.8,11.9,3.1
365,-12.5,15.1,1.0
366,-7.0,28.0,7.4
